"","period","age_grp","race","gender","count","pop","main.vs.sa"
"584",7,13,"Black","Male",859,332669,"sa"
"585",7,14,"Black","Male",892,249333,"sa"
"586",8,10,"Black","Male",1153,1381175,"sa"
"587",8,11,"Black","Male",1359,1037031,"sa"
"588",8,12,"Black","Male",1384,720821,"sa"
"589",8,13,"Black","Male",1443,547471,"sa"
"590",8,14,"Black","Male",1351,402850,"sa"
"591",9,10,"Black","Male",1416,1663974,"sa"
"592",9,11,"Black","Male",1605,1317523,"sa"
"593",9,12,"Black","Male",1678,959132,"sa"
"594",9,13,"Black","Male",1494,645410,"sa"
"595",9,14,"Black","Male",1374,455356,"sa"
"596",10,10,"Black","Male",1484,1768615,"sa"
"597",10,11,"Black","Male",1737,1574923,"sa"
"598",10,12,"Black","Male",1817,1204338,"sa"
"599",10,13,"Black","Male",1809,855821,"sa"
"600",10,14,"Black","Male",1286,550347,"sa"
"601",3,10,"White","Male",1385,2347321,"sa"
"602",3,11,"White","Male",2394,2244532,"sa"
"603",3,12,"White","Male",3248,1884225,"sa"
"604",3,13,"White","Male",3907,1456057,"sa"
"605",3,14,"White","Male",3960,1042417,"sa"
"606",4,10,"White","Male",1312,2141703,"sa"
"607",4,11,"White","Male",2405,2153013,"sa"
"608",4,12,"White","Male",3746,1982610,"sa"
"609",4,13,"White","Male",4553,1608856,"sa"
"610",4,14,"White","Male",4643,1177345,"sa"
"611",5,10,"White","Male",1159,2157597,"sa"
"612",5,11,"White","Male",2163,1983663,"sa"
"613",5,12,"White","Male",3447,1927510,"sa"
"614",5,13,"White","Male",4623,1712834,"sa"
"615",5,14,"White","Male",4970,1301256,"sa"
"616",6,10,"White","Male",1797,3548572,"sa"
"617",6,11,"White","Male",2672,2811081,"sa"
"618",6,12,"White","Male",3882,2480509,"sa"
"619",6,13,"White","Male",5688,2283405,"sa"
"620",6,14,"White","Male",6274,1934964,"sa"
"621",7,10,"White","Male",3658,6550769,"sa"
"622",7,11,"White","Male",4725,4872184,"sa"
"623",7,12,"White","Male",5855,3731871,"sa"
"624",7,13,"White","Male",7568,3173717,"sa"
"625",7,14,"White","Male",8990,2824698,"sa"
"626",8,10,"White","Male",6368,10483756,"sa"
"627",8,11,"White","Male",8030,8895859,"sa"
"628",8,12,"White","Male",9016,6483764,"sa"
"629",8,13,"White","Male",10378,4906409,"sa"
"630",8,14,"White","Male",11539,4088324,"sa"
"631",9,10,"White","Male",7065,11550744,"sa"
"632",9,11,"White","Male",8111,10008304,"sa"
"633",9,12,"White","Male",9594,8307787,"sa"
"634",9,13,"White","Male",10107,5911990,"sa"
"635",9,14,"White","Male",9942,4290233,"sa"
"636",10,10,"White","Male",7703,11657594,"sa"
"637",10,11,"White","Male",8729,11025079,"sa"
"638",10,12,"White","Male",9851,9364192,"sa"
"639",10,13,"White","Male",10853,7601153,"sa"
"640",10,14,"White","Male",9328,5228857,"sa"
