"","period","age_grp","race","gender","count","pop","main.vs.sa"
"121",6,5,"Black","Female",13,663619,"main"
"122",6,5,"White","Female",52,3669248,"main"
"123",6,6,"Black","Female",40,698798,"main"
"124",6,6,"White","Female",108,4244880,"main"
"125",6,7,"Black","Female",59,660806,"main"
"126",6,7,"White","Female",228,4273271,"main"
"127",6,8,"Black","Female",86,561927,"main"
"128",6,8,"White","Female",436,3917017,"main"
"129",6,9,"Black","Female",137,428954,"main"
"130",6,9,"White","Female",668,3372274,"main"
"131",7,5,"Black","Female",16,696054,"main"
"132",7,5,"White","Female",63,3462522,"main"
"133",7,6,"Black","Female",27,715297,"main"
"134",7,6,"White","Female",142,3807415,"main"
"135",7,7,"Black","Female",62,714588,"main"
"136",7,7,"White","Female",255,4204923,"main"
"137",7,8,"Black","Female",107,655712,"main"
"138",7,8,"White","Female",483,4198563,"main"
"139",7,9,"Black","Female",199,555020,"main"
"140",7,9,"White","Female",867,3801221,"main"
"141",8,5,"Black","Female",7,674226,"main"
"142",8,5,"White","Female",71,3298976,"main"
"143",8,6,"Black","Female",41,721518,"main"
"144",8,6,"White","Female",131,3487662,"main"
"145",8,7,"Black","Female",61,713137,"main"
"146",8,7,"White","Female",251,3713497,"main"
"147",8,8,"Black","Female",124,702643,"main"
"148",8,8,"White","Female",568,4092336,"main"
"149",8,9,"Black","Female",221,638805,"main"
"150",8,9,"White","Female",995,4072780,"main"
"151",9,5,"Black","Female",13,717507,"main"
"152",9,5,"White","Female",91,3558707,"main"
"153",9,6,"Black","Female",27,701657,"main"
"154",9,6,"White","Female",163,3375066,"main"
"155",9,7,"Black","Female",56,731960,"main"
"156",9,7,"White","Female",292,3462295,"main"
"157",9,8,"Black","Female",139,708331,"main"
"158",9,8,"White","Female",590,3669451,"main"
"159",9,9,"Black","Female",273,689975,"main"
"160",9,9,"White","Female",1002,4008016,"main"
"161",3,5,"Black","Female",14,536793,"sa"
"162",3,6,"Black","Female",20,444284,"sa"
"163",3,7,"Black","Female",24,323594,"sa"
"164",3,8,"Black","Female",40,268003,"sa"
"165",3,9,"Black","Female",97,246720,"sa"
"166",4,5,"Black","Female",13,620457,"sa"
"167",4,6,"Black","Female",19,554562,"sa"
"168",4,7,"Black","Female",46,426733,"sa"
"169",4,8,"Black","Female",63,330243,"sa"
"170",4,9,"Black","Female",72,266975,"sa"
"171",5,5,"Black","Female",9,651484,"sa"
"172",5,6,"Black","Female",26,639696,"sa"
"173",5,7,"Black","Female",58,558453,"sa"
"174",5,8,"Black","Female",81,445079,"sa"
"175",5,9,"Black","Female",87,319991,"sa"
"176",6,5,"Black","Female",19,930750,"sa"
"177",6,6,"Black","Female",52,993315,"sa"
"178",6,7,"Black","Female",76,923084,"sa"
"179",6,8,"Black","Female",123,782470,"sa"
"180",6,9,"Black","Female",201,604162,"sa"
"181",7,5,"Black","Female",27,1297899,"sa"
"182",7,6,"Black","Female",52,1372371,"sa"
"183",7,7,"Black","Female",134,1419426,"sa"
"184",7,8,"Black","Female",221,1320751,"sa"
"185",7,9,"Black","Female",390,1117068,"sa"
"186",8,5,"Black","Female",23,1872662,"sa"
"187",8,6,"Black","Female",106,1933835,"sa"
"188",8,7,"Black","Female",174,2001872,"sa"
"189",8,8,"Black","Female",368,2057662,"sa"
"190",8,9,"Black","Female",670,1880536,"sa"
"191",9,5,"Black","Female",47,2025128,"sa"
"192",9,6,"Black","Female",86,1915564,"sa"
"193",9,7,"Black","Female",190,1951164,"sa"
"194",9,8,"Black","Female",421,1993617,"sa"
"195",9,9,"Black","Female",748,2023270,"sa"
"196",10,5,"Black","Female",57,2193107,"sa"
"197",10,6,"Black","Female",143,2058871,"sa"
"198",10,7,"Black","Female",212,1942654,"sa"
"199",10,8,"Black","Female",385,1945057,"sa"
"200",10,9,"Black","Female",725,1964339,"sa"
"201",3,5,"White","Female",51,3910384,"sa"
"202",3,6,"White","Female",116,3573528,"sa"
"203",3,7,"White","Female",180,2796827,"sa"
"204",3,8,"White","Female",303,2342491,"sa"
"205",3,9,"White","Female",671,2284755,"sa"
"206",4,5,"White","Female",37,4193412,"sa"
"207",4,6,"White","Female",103,3939134,"sa"
"208",4,7,"White","Female",189,3439323,"sa"
"209",4,8,"White","Female",338,2746230,"sa"
"210",4,9,"White","Female",587,2270513,"sa"
"211",5,5,"White","Female",41,4074720,"sa"
"212",5,6,"White","Female",107,4250843,"sa"
"213",5,7,"White","Female",208,3885534,"sa"
"214",5,8,"White","Female",406,3482257,"sa"
"215",5,9,"White","Female",584,2679713,"sa"
"216",6,5,"White","Female",75,5539448,"sa"
"217",6,6,"White","Female",150,6217468,"sa"
"218",6,7,"White","Female",320,6032070,"sa"
"219",6,8,"White","Female",582,5415332,"sa"
"220",6,9,"White","Female",901,4653296,"sa"
"221",7,5,"White","Female",130,7245008,"sa"
"222",7,6,"White","Female",280,7929639,"sa"
"223",7,7,"White","Female",534,8549414,"sa"
"224",7,8,"White","Female",1040,8422123,"sa"
"225",7,9,"White","Female",1808,7563454,"sa"
"226",8,5,"White","Female",192,10130987,"sa"
"227",8,6,"White","Female",449,10664604,"sa"
"228",8,7,"White","Female",815,11398029,"sa"
"229",8,8,"White","Female",1743,12274446,"sa"
"230",8,9,"White","Female",2981,11922807,"sa"
"231",9,5,"White","Female",242,10770292,"sa"
"232",9,6,"White","Female",452,10176922,"sa"
"233",9,7,"White","Female",942,10623525,"sa"
"234",9,8,"White","Female",1791,11189899,"sa"
"235",9,9,"White","Female",3194,11981827,"sa"
"236",10,5,"White","Female",354,10960933,"sa"
"237",10,6,"White","Female",670,10817416,"sa"
"238",10,7,"White","Female",1054,10192122,"sa"
"239",10,8,"White","Female",1888,10490957,"sa"
"240",10,9,"White","Female",3258,10983446,"sa"
"241",3,5,"Black","Male",5,465820,"sa"
"242",3,6,"Black","Male",20,385993,"sa"
"243",3,7,"Black","Male",21,282438,"sa"
"244",3,8,"Black","Male",43,233231,"sa"
"245",3,9,"Black","Male",69,212504,"sa"
"246",4,5,"Black","Male",13,547207,"sa"
"247",4,6,"Black","Male",20,482264,"sa"
"248",4,7,"Black","Male",29,368582,"sa"
"249",4,8,"Black","Male",52,285938,"sa"
"250",4,9,"Black","Male",85,231215,"sa"
"251",5,5,"Black","Male",10,580260,"sa"
"252",5,6,"Black","Male",14,559573,"sa"
"253",5,7,"Black","Male",56,479137,"sa"
"254",5,8,"Black","Male",76,384097,"sa"
"255",5,9,"Black","Male",124,280458,"sa"
"256",6,5,"Black","Male",15,829314,"sa"
"257",6,6,"Black","Male",34,883846,"sa"
"258",6,7,"Black","Male",66,814782,"sa"
"259",6,8,"Black","Male",138,676863,"sa"
"260",6,9,"Black","Male",190,518510,"sa"
"261",7,5,"Black","Male",22,1167963,"sa"
"262",7,6,"Black","Male",42,1239659,"sa"
"263",7,7,"Black","Male",112,1269134,"sa"
"264",7,8,"Black","Male",242,1177343,"sa"
"265",7,9,"Black","Male",403,968343,"sa"
"266",8,5,"Black","Male",30,1696984,"sa"
"267",8,6,"Black","Male",80,1739205,"sa"
"268",8,7,"Black","Male",181,1800174,"sa"
"269",8,8,"Black","Male",412,1848435,"sa"
"270",8,9,"Black","Male",615,1679840,"sa"
"271",9,5,"Black","Male",36,1885457,"sa"
"272",9,6,"Black","Male",60,1733103,"sa"
"273",9,7,"Black","Male",165,1743739,"sa"
"274",9,8,"Black","Male",368,1797741,"sa"
"275",9,9,"Black","Male",779,1822984,"sa"
"276",10,5,"Black","Male",49,2145252,"sa"
"277",10,6,"Black","Male",108,1918111,"sa"
"278",10,7,"Black","Male",182,1744678,"sa"
"279",10,8,"Black","Male",359,1734265,"sa"
"280",10,9,"Black","Male",735,1757313,"sa"
"281",3,5,"White","Male",64,3991718,"sa"
"282",3,6,"White","Male",101,3586574,"sa"
"283",3,7,"White","Male",187,2809460,"sa"
"284",3,8,"White","Male",328,2316116,"sa"
"285",3,9,"White","Male",655,2234903,"sa"
"286",4,5,"White","Male",47,4320955,"sa"
"287",4,6,"White","Male",122,3981780,"sa"
"288",4,7,"White","Male",208,3463416,"sa"
"289",4,8,"White","Male",357,2716297,"sa"
"290",4,9,"White","Male",637,2242121,"sa"
"291",5,5,"White","Male",51,4208280,"sa"
"292",5,6,"White","Male",129,4326622,"sa"
"293",5,7,"White","Male",224,3929520,"sa"
"294",5,8,"White","Male",368,3467369,"sa"
"295",5,9,"White","Male",695,2672616,"sa"
"296",6,5,"White","Male",86,5987562,"sa"
"297",6,6,"White","Male",213,6601138,"sa"
"298",6,7,"White","Male",367,6262064,"sa"
"299",6,8,"White","Male",680,5476652,"sa"
"300",6,9,"White","Male",1085,4657006,"sa"
"301",7,5,"White","Male",131,7781144,"sa"
"302",7,6,"White","Male",324,8434180,"sa"
"303",7,7,"White","Male",660,8884140,"sa"
"304",7,8,"White","Male",1177,8571203,"sa"
"305",7,9,"White","Male",2118,7544784,"sa"
"306",8,5,"White","Male",233,10755334,"sa"
"307",8,6,"White","Male",488,11229358,"sa"
"308",8,7,"White","Male",1041,11824113,"sa"
"309",8,8,"White","Male",1888,12497701,"sa"
"310",8,9,"White","Male",3615,11944959,"sa"
"311",9,5,"White","Male",266,11433171,"sa"
"312",9,6,"White","Male",535,10687160,"sa"
"313",9,7,"White","Male",978,10965068,"sa"
"314",9,8,"White","Male",2006,11465355,"sa"
"315",9,9,"White","Male",3903,12060595,"sa"
"316",10,5,"White","Male",375,11743005,"sa"
"317",10,6,"White","Male",668,11384864,"sa"
"318",10,7,"White","Male",1119,10566757,"sa"
"319",10,8,"White","Male",2100,10737356,"sa"
"320",10,9,"White","Male",3820,11150907,"sa"
"321",3,10,"Black","Female",164,241910,"main"
"322",3,11,"Black","Female",214,221664,"main"
"323",3,12,"Black","Female",244,184050,"main"
"324",3,13,"Black","Female",269,154746,"main"
"325",3,14,"Black","Female",264,107088,"main"
"326",4,10,"Black","Female",139,238812,"main"
"327",4,11,"Black","Female",232,228233,"main"
"328",4,12,"Black","Female",305,202048,"main"
"329",4,13,"Black","Female",386,175527,"main"
"330",4,14,"Black","Female",361,131281,"main"
"331",5,10,"Black","Female",167,252814,"main"
"332",5,11,"Black","Female",238,227218,"main"
"333",5,12,"Black","Female",322,214591,"main"
"334",5,13,"Black","Female",424,193939,"main"
"335",5,14,"Black","Female",415,147887,"main"
"336",6,10,"Black","Female",196,311441,"main"
"337",6,11,"Black","Female",235,244157,"main"
"338",6,12,"Black","Female",312,215686,"main"
"339",6,13,"Black","Female",362,199254,"main"
"340",6,14,"Black","Female",446,163183,"main"
"341",7,10,"Black","Female",262,434624,"main"
"342",7,11,"Black","Female",331,299770,"main"
"343",7,12,"Black","Female",344,231873,"main"
"344",7,13,"Black","Female",430,200102,"main"
"345",7,14,"Black","Female",427,170338,"main"
"346",8,10,"Black","Female",398,545078,"main"
"347",8,11,"Black","Female",416,417293,"main"
"348",8,12,"Black","Female",395,283211,"main"
"349",8,13,"Black","Female",418,215038,"main"
"350",8,14,"Black","Female",444,177947,"main"
"351",9,10,"Black","Female",464,629480,"main"
"352",9,11,"Black","Female",437,529666,"main"
"353",9,12,"Black","Female",469,399460,"main"
"354",9,13,"Black","Female",428,266333,"main"
"355",9,14,"Black","Female",396,194113,"main"
"356",10,10,"Black","Female",483,676591,"main"
"357",10,11,"Black","Female",446,609413,"main"
"358",10,12,"Black","Female",488,504004,"main"
"359",10,13,"Black","Female",484,375690,"main"
"360",10,14,"Black","Female",391,242585,"main"
"361",3,10,"White","Female",1293,2453440,"main"
"362",3,11,"White","Female",1984,2421670,"main"
"363",3,12,"White","Female",2750,2097651,"main"
"364",3,13,"White","Female",3358,1800771,"main"
"365",3,14,"White","Female",3873,1455112,"main"
"366",4,10,"White","Female",1104,2203908,"main"
"367",4,11,"White","Female",1956,2308366,"main"
"368",4,12,"White","Female",2775,2203959,"main"
"369",4,13,"White","Female",3709,1952058,"main"
"370",4,14,"White","Female",4261,1611593,"main"
"371",5,10,"White","Female",969,2202565,"main"
"372",5,11,"White","Female",1522,2081114,"main"
"373",5,12,"White","Female",2475,2131362,"main"
"374",5,13,"White","Female",3454,2057855,"main"
"375",5,14,"White","Female",4189,1726986,"main"
"376",6,10,"White","Female",949,2627753,"main"
"377",6,11,"White","Female",1464,2115310,"main"
"378",6,12,"White","Female",2183,1962969,"main"
"379",6,13,"White","Female",3181,1983654,"main"
"380",6,14,"White","Female",4226,1841120,"main"
"381",7,10,"White","Female",1298,3333777,"main"
"382",7,11,"White","Female",1587,2495585,"main"
"383",7,12,"White","Female",2133,1970271,"main"
"384",7,13,"White","Female",2894,1802113,"main"
"385",7,14,"White","Female",3999,1775776,"main"
"386",8,10,"White","Female",1539,3689659,"main"
"387",8,11,"White","Female",1891,3173078,"main"
"388",8,12,"White","Female",2070,2324521,"main"
"389",8,13,"White","Female",2582,1815239,"main"
